name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Dali,25.7,100.18,62.13,88,100,4.43,CN,1600984624
Dakoro,14.51,6.76,92.03,28,0,8.08,NE,1600984624
Magnolia,33.27,-93.24,75.0,94,90,4.7,US,1600984625
Matnog,12.59,124.09,81.3,81,95,10.18,PH,1600984625
Bandarbeyla,9.49,50.81,77.13,76,52,24.2,SO,1600984625
Bambous Virieux,-20.34,57.76,66.2,77,20,2.24,MU,1600984625
Padang,-0.95,100.35,77.02,82,99,3.15,ID,1600984626
Vila Franca do Campo,37.72,-25.43,66.2,68,40,11.41,PT,1600984335
Bogorodskoye,56.55,37.88,53.24,83,47,5.3,RU,1600984626
Fazilka,30.4,74.03,78.58,26,0,1.57,IN,1600984626
Eyl,7.98,49.82,77.18,72,0,21.0,SO,1600984627
Ghanzi,-21.57,21.78,76.64,24,21,10.27,BW,1600984627
Esmeraldas,-19.76,-44.31,77.0,57,20,9.17,BR,1600984627
Marrakesh,31.63,-8.01,82.4,34,44,3.36,MA,1600984627
Bonthe,7.53,-12.51,77.74,88,100,5.57,SL,1600984628
Isangel,-19.55,169.27,77.0,94,75,9.17,VU,1600984492
San Patricio,19.22,-104.7,89.6,75,20,11.41,MX,1600984535
Port Alfred,-33.59,26.89,67.33,61,0,8.81,ZA,1600984628
Puerto Rico,-26.8,-55.02,75.74,43,1,0.56,AR,1600984629
Faanui,-16.48,-151.75,77.7,78,7,13.76,PF,1600984629
Longyearbyen,78.22,15.64,32.0,92,75,9.17,SJ,1600984629
Diffa,13.32,12.61,88.63,37,57,10.13,NE,1600984630
High Prairie,55.43,-116.49,56.57,67,100,12.64,CA,1600984630
Thompson,55.74,-97.86,51.8,66,90,9.17,CA,1600984604
Bathsheba,13.22,-59.52,86.0,70,40,9.17,BB,1600984474
Gedinne,49.98,4.94,54.0,93,100,14.99,BE,1600984630
Barentu,15.11,37.59,74.68,70,63,6.06,ER,1600984631
Bucerías,20.75,-105.33,88.0,74,20,10.29,MX,1600984631
Tuatapere,-46.13,167.68,46.99,96,89,10.0,NZ,1600984631
Dunnville,42.9,-79.62,77.0,53,75,12.75,CA,1600984350
Dunedin,-45.87,170.5,53.44,72,62,2.84,NZ,1600984549
Kudahuvadhoo,2.67,72.89,82.24,75,96,8.23,MV,1600984632
Chinhoyi,-17.37,30.2,60.28,52,2,4.25,ZW,1600984632
Port Blair,11.67,92.75,80.02,83,100,11.79,IN,1600984632
Leh,34.17,77.58,46.54,45,49,2.13,IN,1600984632
Pemangkat,1.17,108.97,76.98,86,100,4.56,ID,1600984508
Muriti,-1.98,32.92,68.0,88,75,5.82,TZ,1600984633
Vao,-22.67,167.48,71.91,85,0,16.98,NC,1600984633
Arraial do Cabo,-22.97,-42.03,73.4,83,40,11.41,BR,1600984450
Bilma,18.69,12.92,88.56,17,0,1.68,NE,1600984633
Wanning,18.8,110.4,78.24,83,100,3.58,CN,1600984062
Pisco,-13.7,-76.22,66.2,72,5,14.99,PE,1600984634
Ust-Kuyga,70.02,135.6,36.32,81,80,5.97,RU,1600984634
Camacupa,-12.02,17.48,67.28,26,42,1.61,AO,1600983945
Kharitonovo,61.4,47.5,50.13,95,69,4.81,RU,1600984635
Shimoda,34.67,138.95,64.0,89,53,5.01,JP,1600984635
Mandalgovi,45.76,106.27,53.47,42,24,7.99,MN,1600984635
Punta Cardon,11.66,-70.22,86.32,72,100,26.31,VE,1600984635
Kalabo,-14.97,22.68,70.0,24,0,5.39,ZM,1600984636
Ponta do Sol,32.67,-17.1,73.4,78,20,3.36,PT,1600984452
Galle,6.04,80.22,79.88,84,100,8.72,LK,1600984636
Ponta Grossa,-25.09,-50.16,62.58,51,26,4.7,BR,1600984573
Jaguarari,-10.26,-40.2,74.97,54,0,12.35,BR,1600984636
Bowen,-20.02,148.23,64.4,100,40,4.0,AU,1600984637
Zhigansk,66.77,123.37,37.54,77,0,4.29,RU,1600984637
Muravlenko,63.79,74.52,37.29,84,0,6.98,RU,1600984637
Cayenne,4.93,-52.33,82.4,78,5,4.7,GF,1600984518
Yanaul,56.27,54.93,43.75,80,0,3.6,RU,1600984637
São João da Barra,-21.64,-41.05,73.4,88,75,6.93,BR,1600984638
Östersund,63.18,14.64,50.0,71,7,19.46,SE,1600984638
Xifeng,42.74,124.72,54.64,86,100,0.69,CN,1600984638
Honiara,-9.43,159.95,80.6,83,20,3.36,SB,1600984412
Dingle,11.0,122.67,75.06,89,100,3.33,PH,1600984446
Burnie,-41.07,145.92,48.99,90,100,7.0,AU,1600984639
Torbay,47.67,-52.73,62.01,77,40,23.04,CA,1600984639
Bako,5.78,36.57,65.23,83,73,3.33,ET,1600984639
Vanimo,-2.67,141.3,80.19,81,95,3.2,PG,1600984639
Tilichiki,60.47,166.1,38.91,75,80,16.26,RU,1600984640
Kamaishi,39.27,141.88,64.89,84,100,19.04,JP,1600984640
Grindavik,63.84,-22.43,35.6,64,0,17.22,IS,1600984640
