name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Quatre Cocos,-20.21,57.76,69.8,77,75,16.11,MU,1601084683
Leningradskiy,69.38,178.42,27.34,92,99,4.85,RU,1601084683
Marawi,8.0,124.29,84.0,72,100,4.0,PH,1601084683
Esna,25.29,32.55,77.0,47,27,2.24,EG,1601084467
Kavieng,-2.57,150.8,85.1,72,15,9.15,PG,1601084684
Kannur,11.87,75.36,77.0,94,40,3.36,IN,1601084475
Rome,43.21,-75.46,63.0,82,1,3.89,US,1601084684
San Patricio,19.22,-104.7,87.8,74,40,9.17,MX,1601084684
Talnakh,69.49,88.4,39.2,100,75,8.95,RU,1601084685
Rajo Khanani,24.98,68.85,79.25,81,20,16.06,PK,1601084685
Cidreira,-30.18,-50.21,63.97,87,82,13.11,BR,1601084685
Kiryat Gat,31.61,34.76,75.0,79,36,3.74,IL,1601084685
Nanortalik,60.14,-45.24,38.17,86,100,13.67,GL,1601084686
Namatanai,-3.67,152.43,86.13,66,87,5.03,PG,1601084686
Lompoc,34.64,-120.46,64.4,72,1,14.99,US,1601084686
Vezirköprü,41.14,35.45,57.2,76,75,3.36,TR,1601084686
Wajir,1.75,40.06,71.85,73,0,11.63,KE,1601084686
Miandrivazo,-19.52,45.47,73.63,70,18,2.15,MG,1601084687
Hambantota,6.12,81.12,77.0,100,75,5.82,LK,1601084687
Lorengau,-2.02,147.27,86.61,63,97,8.25,PG,1601084687
Kewanee,41.25,-89.92,69.01,73,0,1.01,US,1601084687
Níjar,36.97,-2.21,71.01,77,87,5.82,ES,1601084443
Beaufort,5.35,115.75,84.2,74,20,4.7,MY,1601084688
San Matías,-16.37,-58.4,86.72,34,0,3.71,BO,1601084688
Yong’an,39.7,113.69,63.82,34,0,4.32,CN,1601084688
Saint-Augustin,51.23,-58.65,43.11,62,100,15.61,CA,1601084688
Ekhabi,53.51,142.97,53.44,63,100,10.36,RU,1601084689
Chui,-33.7,-53.46,58.39,89,100,4.7,UY,1601084689
Poronaysk,49.22,143.12,57.54,62,66,4.21,RU,1601084689
Harindānga,22.04,88.32,82.4,94,40,4.7,IN,1601084689
Pallasovka,50.05,46.88,56.32,39,0,12.26,RU,1601084690
Bethel,41.37,-73.41,64.0,93,1,2.98,US,1601084603
Tiksi,71.69,128.87,46.29,55,3,13.8,RU,1601084690
Tuktoyaktuk,69.45,-133.04,37.4,93,90,13.87,CA,1601084690
Coos Bay,43.37,-124.22,63.0,100,90,12.75,US,1601084408
Muros,42.78,-9.06,51.01,92,6,1.99,ES,1601084691
Gao,16.64,1.64,89.56,29,70,3.71,ML,1601084691
Aleksandrov Gay,50.15,48.57,55.02,40,55,11.45,RU,1601084691
Gizo Government Station,-8.1,156.84,85.24,67,100,5.08,SB,1601084691
Nioki,-2.72,17.68,70.2,96,79,1.3,CD,1601084692
Port-Cartier,50.03,-66.87,45.0,64,5,2.24,CA,1601084692
Lumby,50.25,-118.97,57.2,71,20,4.7,CA,1601084692
Nevers,46.99,3.16,46.99,81,6,11.41,FR,1601084692
Yatou,37.15,122.38,71.83,64,0,8.86,CN,1601084421
Lubin,51.4,16.2,57.99,100,75,6.93,PL,1601084693
Flinders,-34.58,150.86,60.01,42,0,15.01,AU,1601084693
Lagoa,39.05,-27.98,68.13,78,77,13.18,PT,1601084693
Narsaq,60.92,-46.05,37.4,93,99,3.36,GL,1601084693
Vardø,70.37,31.11,46.04,76,68,28.61,NO,1601084694
Yuxia,34.06,108.63,70.0,82,11,13.42,CN,1601084694
